"","h1n1_concern","h1n1_knowledge","behavioral_antiviral_meds","behavioral_avoidance","behavioral_face_mask","behavioral_wash_hands","behavioral_large_gatherings","behavioral_outside_home","behavioral_touch_face","doctor_recc_h1n1","chronic_med_condition","child_under_6_months","health_worker","opinion_h1n1_vacc_effective","opinion_h1n1_risk","opinion_h1n1_sick_from_vacc","age_group","education","race","sex","income_poverty","marital_status","rent_or_own","employment_status","census_msa","household_adults","household_children","h1n1_vaccine"
"47",1,2,0,0,0,0,0,0,0,0,0,0,0,5,2,1,"55 - 64 Years","12 Years","White","Female","> $75,000","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,0,1
"48",0,2,0,0,0,1,0,0,0,0,0,1,0,5,1,2,"18 - 34 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,0,1
"49",3,2,0,1,1,1,1,1,1,0,0,0,0,5,4,1,"45 - 54 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","Non-MSA",1,0,1
"50",1,1,0,0,0,0,1,0,0,0,0,0,0,5,4,2,"18 - 34 Years","College Graduate","White","Female","> $75,000","Married","Own","Not in Labor Force","MSA, Principle City",1,3,1
"51",2,2,0,1,0,1,0,0,0,0,0,0,1,4,2,1,"45 - 54 Years","College Graduate","White","Male","<= $75,000, Above Poverty","Married","Own","Employed","Non-MSA",1,2,0
"52",0,1,0,1,0,0,0,0,0,0,0,0,0,4,1,1,"55 - 64 Years","College Graduate","White","Female","> $75,000","Not Married","Own","Employed","MSA, Not Principle  City",0,0,0
"53",1,1,0,1,0,1,1,1,1,0,0,0,0,5,2,4,"45 - 54 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","Non-MSA",1,0,0
"54",1,2,0,0,0,0,0,0,0,0,0,0,1,3,2,2,"55 - 64 Years","College Graduate","White","Male","<= $75,000, Above Poverty","Not Married","Own","Unemployed","MSA, Not Principle  City",0,0,0
"56",1,1,0,1,0,1,0,0,0,0,0,0,0,4,2,2,"55 - 64 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",1,0,0
"59",2,2,0,1,0,1,0,0,0,0,1,0,0,4,2,2,"45 - 54 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Principle City",1,2,0
"60",3,1,0,1,0,1,1,1,1,0,0,0,0,2,5,5,"35 - 44 Years","Some College","Hispanic","Female","Below Poverty","Married","Rent","Unemployed","MSA, Principle City",1,2,0
"61",3,2,0,1,0,1,1,1,1,1,1,0,1,4,4,5,"45 - 54 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Not Principle  City",0,0,1
"62",3,2,0,1,0,1,1,1,1,0,0,0,0,3,4,5,"45 - 54 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,2,0
"63",2,1,0,1,0,1,1,1,1,0,0,0,0,4,1,2,"35 - 44 Years","12 Years","White","Male","Below Poverty","Not Married","Own","Unemployed","MSA, Not Principle  City",2,0,0
"66",1,1,0,0,0,1,0,0,1,0,0,0,0,3,1,1,"55 - 64 Years","College Graduate","Black","Female","> $75,000","Not Married","Rent","Employed","MSA, Not Principle  City",0,0,0
"67",2,1,0,0,0,0,0,0,0,0,0,1,0,4,2,2,"18 - 34 Years","12 Years","Black","Male","Below Poverty","Not Married","Rent","Not in Labor Force","Non-MSA",1,2,0
"68",2,2,0,0,0,1,0,0,1,1,0,0,0,4,2,2,"35 - 44 Years","College Graduate","Black","Male","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Principle City",0,1,1
"70",1,2,0,1,0,0,0,0,1,0,0,0,0,3,1,1,"65+ Years","Some College","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",0,0,0
"71",2,1,1,1,0,0,0,0,0,0,1,0,0,4,1,5,"18 - 34 Years","College Graduate","White","Male","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",2,1,0
"72",3,1,0,0,0,1,1,1,1,0,1,0,0,5,4,4,"65+ Years","< 12 Years","White","Female","Below Poverty","Not Married","Rent","Not in Labor Force","MSA, Not Principle  City",0,0,0
"73",1,1,0,0,0,0,0,0,0,0,0,0,0,4,2,1,"65+ Years","< 12 Years","White","Male","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Principle City",0,0,0
"74",3,2,0,1,0,1,0,0,1,0,0,0,0,5,2,4,"65+ Years","College Graduate","White","Female","<= $75,000, Above Poverty","Not Married","Rent","Not in Labor Force","MSA, Not Principle  City",0,0,0
"75",2,1,0,0,0,1,1,1,0,1,1,0,0,5,4,4,"18 - 34 Years","Some College","White","Female","Below Poverty","Married","Rent","Not in Labor Force","Non-MSA",1,0,1
"78",1,1,0,1,0,0,0,0,0,0,0,0,1,5,1,1,"35 - 44 Years","12 Years","White","Female","> $75,000","Married","Own","Employed","MSA, Principle City",1,2,0
"80",3,1,0,1,0,0,1,1,1,0,0,0,0,5,4,2,"65+ Years","< 12 Years","Other or Multiple","Male","<= $75,000, Above Poverty","Married","Own","Employed","Non-MSA",1,0,0
"81",1,1,0,1,0,1,0,0,0,0,1,0,0,4,1,1,"45 - 54 Years","12 Years","White","Male","<= $75,000, Above Poverty","Not Married","Own","Employed","Non-MSA",0,0,0
"82",3,1,0,1,0,1,0,1,1,0,0,0,0,4,2,2,"55 - 64 Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",1,0,0
"83",2,2,0,1,0,1,1,1,1,0,0,0,1,5,4,4,"18 - 34 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",1,1,1
"84",3,1,0,1,0,1,1,1,1,1,1,0,0,4,4,4,"45 - 54 Years","College Graduate","Black","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Not Principle  City",0,1,0
"86",2,1,0,1,0,1,1,1,1,0,1,1,1,5,4,2,"55 - 64 Years","12 Years","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Principle City",1,0,1
"87",0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,2,"45 - 54 Years","< 12 Years","White","Male","> $75,000","Married","Own","Unemployed","MSA, Not Principle  City",2,1,0
"88",3,1,0,1,0,1,1,1,1,0,0,1,0,3,4,2,"18 - 34 Years","12 Years","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,1,0
"89",1,0,0,1,0,1,1,1,1,0,1,0,0,4,1,1,"65+ Years","12 Years","Other or Multiple","Female","<= $75,000, Above Poverty","Not Married","Rent","Not in Labor Force","Non-MSA",0,0,0
"93",1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,4,"18 - 34 Years","12 Years","White","Male","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Principle City",0,0,0
"94",2,1,0,0,0,1,0,0,1,0,0,0,0,5,4,4,"18 - 34 Years","College Graduate","Other or Multiple","Male","<= $75,000, Above Poverty","Married","Rent","Not in Labor Force","MSA, Not Principle  City",1,2,0
"96",2,2,0,1,0,1,1,0,1,1,0,0,0,5,2,4,"18 - 34 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Not Married","Own","Unemployed","MSA, Principle City",2,0,0
"99",0,1,0,0,0,0,0,0,0,0,0,1,1,4,2,5,"18 - 34 Years","Some College","White","Female","Below Poverty","Not Married","Own","Not in Labor Force","MSA, Principle City",3,3,0
"100",2,0,1,1,0,1,1,0,1,0,1,0,0,3,4,2,"65+ Years","< 12 Years","Hispanic","Male","Below Poverty","Married","Rent","Not in Labor Force","MSA, Not Principle  City",1,0,0
"101",2,1,0,1,0,1,0,1,1,1,0,0,0,4,3,2,"18 - 34 Years","12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Rent","Employed","MSA, Principle City",1,0,0
"102",1,2,0,1,0,1,0,0,1,1,1,1,1,4,5,1,"45 - 54 Years","Some College","White","Female","> $75,000","Married","Own","Employed","Non-MSA",1,0,0
"104",2,1,0,1,0,1,0,0,0,0,0,0,0,3,1,1,"45 - 54 Years","12 Years","White","Male","Below Poverty","Married","Own","Unemployed","Non-MSA",1,1,0
"107",0,2,0,1,0,1,0,0,1,0,0,0,0,4,1,1,"18 - 34 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Not Married","Own","Unemployed","MSA, Not Principle  City",2,0,0
"108",2,1,0,1,0,1,0,0,0,0,0,0,0,5,4,1,"45 - 54 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","Non-MSA",1,2,1
"109",3,2,0,1,0,1,0,0,0,0,0,0,0,5,2,1,"35 - 44 Years","College Graduate","Other or Multiple","Female","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,2,0
"110",0,1,1,1,0,1,1,1,1,0,0,0,0,3,2,1,"65+ Years","12 Years","Hispanic","Female","Below Poverty","Married","Own","Not in Labor Force","MSA, Principle City",3,3,0
"111",2,2,0,1,0,1,0,0,1,1,0,1,0,5,4,4,"55 - 64 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","Non-MSA",1,0,1
"113",3,2,0,1,0,1,0,0,1,1,1,0,0,4,4,4,"55 - 64 Years","12 Years","Hispanic","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Not Principle  City",2,0,1
"114",2,1,0,1,0,1,1,1,0,0,0,1,0,3,2,2,"35 - 44 Years","12 Years","White","Male","<= $75,000, Above Poverty","Not Married","Rent","Employed","MSA, Not Principle  City",2,0,0
"115",1,1,0,1,0,1,0,0,1,0,0,0,1,4,1,2,"35 - 44 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",1,2,0
"117",2,1,0,0,0,1,0,0,1,0,0,0,0,4,2,1,"55 - 64 Years","12 Years","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","Non-MSA",1,0,1
"118",2,1,0,1,0,1,1,1,1,0,0,0,0,4,4,4,"55 - 64 Years","12 Years","Other or Multiple","Male","Below Poverty","Married","Own","Unemployed","MSA, Principle City",1,0,0
"119",0,2,0,1,0,1,0,1,1,0,0,0,1,3,1,1,"45 - 54 Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",1,0,0
"121",1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,"35 - 44 Years","12 Years","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","Non-MSA",1,0,0
"122",1,1,0,0,0,0,0,0,0,0,0,0,0,4,1,4,"55 - 64 Years","College Graduate","White","Male","<= $75,000, Above Poverty","Not Married","Rent","Employed","MSA, Not Principle  City",0,0,1
"123",2,2,0,1,0,0,0,1,0,1,1,0,0,5,4,1,"65+ Years","< 12 Years","White","Female","Below Poverty","Not Married","Rent","Not in Labor Force","MSA, Not Principle  City",0,0,1
"124",3,2,0,1,0,1,0,0,0,1,1,0,0,5,2,2,"65+ Years","College Graduate","White","Male","> $75,000","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,0,0
"125",0,1,0,0,0,1,0,0,0,0,0,0,0,5,1,1,"18 - 34 Years","College Graduate","White","Male","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",1,0,0
"126",2,1,0,1,0,1,0,0,1,0,0,0,0,4,3,2,"35 - 44 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,3,0
"127",0,1,0,1,0,0,0,0,0,0,0,0,0,2,4,1,"55 - 64 Years","12 Years","White","Male","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",1,0,0
"128",0,2,0,1,0,1,0,1,1,0,0,0,0,4,5,5,"45 - 54 Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Rent","Not in Labor Force","MSA, Not Principle  City",3,0,1
"129",3,1,0,1,0,1,1,0,1,0,0,0,0,5,2,4,"65+ Years","12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","Non-MSA",0,0,1
"130",2,1,0,1,0,1,0,0,1,0,0,0,0,4,2,1,"45 - 54 Years","College Graduate","Hispanic","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Principle City",0,0,0
"131",2,1,0,1,0,1,0,0,1,0,0,0,0,4,4,4,"55 - 64 Years","Some College","White","Male","<= $75,000, Above Poverty","Not Married","Rent","Employed","Non-MSA",1,0,0
"132",3,1,0,1,0,1,0,1,1,0,0,0,0,4,4,4,"55 - 64 Years","Some College","Black","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Principle City",0,0,0
"133",2,1,0,1,1,1,1,1,1,0,0,0,0,5,4,2,"35 - 44 Years","Some College","Hispanic","Male","<= $75,000, Above Poverty","Married","Rent","Employed","MSA, Principle City",1,2,0
"134",0,1,0,1,0,0,0,0,0,0,0,0,0,4,1,4,"65+ Years","College Graduate","White","Male","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",0,0,0
"135",2,2,0,0,1,1,0,1,1,0,0,0,0,5,1,2,"65+ Years","Some College","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",0,0,0
"136",3,1,0,1,0,1,1,0,1,0,0,0,0,5,2,4,"65+ Years","12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",0,0,0
"138",2,1,0,0,0,0,0,0,1,0,0,0,0,5,1,4,"55 - 64 Years","College Graduate","White","Male","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Principle City",1,0,0
"139",3,2,0,1,0,1,0,0,1,0,0,0,0,4,2,2,"65+ Years","College Graduate","White","Female","> $75,000","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,0,0
"140",0,0,0,1,0,1,1,1,1,0,0,0,0,4,1,1,"18 - 34 Years","< 12 Years","Hispanic","Female","Below Poverty","Married","Rent","Employed","MSA, Not Principle  City",1,3,0
"141",2,2,0,1,0,1,0,1,1,0,0,0,0,5,2,1,"55 - 64 Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,0,1
"142",3,2,0,1,0,1,1,1,0,0,0,0,1,4,1,1,"55 - 64 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","Non-MSA",1,0,0
"143",2,1,0,1,0,1,0,0,1,0,0,0,0,3,2,2,"55 - 64 Years","12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Rent","Employed","MSA, Principle City",0,0,0
"144",1,1,0,0,0,1,0,0,0,0,0,0,0,4,2,2,"35 - 44 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Principle City",0,0,0
"145",3,1,0,1,0,1,1,0,0,0,0,0,0,5,4,5,"45 - 54 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Not Married","Rent","Employed","Non-MSA",0,1,0
"146",0,2,0,1,0,0,0,0,1,0,0,0,0,5,1,3,"65+ Years","Some College","White","Female","<= $75,000, Above Poverty","Not Married","Rent","Not in Labor Force","MSA, Not Principle  City",0,0,0
"147",2,1,0,1,0,1,0,0,1,1,0,0,0,5,4,1,"45 - 54 Years","College Graduate","Hispanic","Female","> $75,000","Married","Own","Not in Labor Force","MSA, Not Principle  City",2,2,0
"148",2,1,0,1,1,1,1,1,1,0,1,0,1,3,5,2,"65+ Years","Some College","White","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Not Principle  City",0,0,0
"149",1,2,0,1,0,1,0,0,0,0,0,0,1,4,2,2,"55 - 64 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","Non-MSA",1,0,0
"152",2,2,0,1,0,1,1,1,1,0,0,0,0,5,4,1,"65+ Years","College Graduate","White","Male","<= $75,000, Above Poverty","Not Married","Rent","Not in Labor Force","MSA, Principle City",0,0,1
"153",1,1,0,0,0,1,1,1,1,0,0,0,0,4,2,4,"45 - 54 Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","Non-MSA",1,1,0
"156",2,1,0,1,0,1,1,0,1,0,1,0,0,3,4,4,"35 - 44 Years","College Graduate","White","Female","> $75,000","Married","Own","Employed","MSA, Principle City",1,2,0
"157",1,2,0,1,0,1,0,0,1,0,0,0,0,4,2,2,"45 - 54 Years","12 Years","White","Male","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",1,0,0
"158",1,1,0,1,0,0,0,0,0,0,1,0,0,4,1,1,"45 - 54 Years","12 Years","White","Male","<= $75,000, Above Poverty","Not Married","Rent","Employed","Non-MSA",0,0,0
"160",2,1,0,1,0,1,1,1,1,0,1,0,1,4,4,4,"18 - 34 Years","12 Years","White","Female","Below Poverty","Not Married","Own","Employed","MSA, Not Principle  City",1,0,1
"161",0,2,0,1,0,1,1,0,1,0,1,0,0,4,1,1,"65+ Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","Non-MSA",1,0,0
"162",1,1,0,1,0,1,1,0,1,0,0,0,0,4,2,2,"35 - 44 Years","College Graduate","Black","Female","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,2,0
"164",2,1,0,1,0,1,0,0,0,0,0,1,0,4,2,4,"18 - 34 Years","< 12 Years","Other or Multiple","Male","<= $75,000, Above Poverty","Married","Rent","Employed","MSA, Not Principle  City",1,3,0
"165",1,1,0,1,0,1,0,0,1,0,0,0,0,4,1,1,"65+ Years","College Graduate","White","Male","> $75,000","Not Married","Own","Not in Labor Force","MSA, Principle City",0,0,0
"166",3,1,0,1,1,1,1,1,1,0,1,0,0,5,4,5,"35 - 44 Years","12 Years","Black","Female","Below Poverty","Not Married","Rent","Unemployed","MSA, Principle City",1,2,0
"167",1,1,0,1,0,1,0,0,1,1,0,0,1,4,2,2,"35 - 44 Years","College Graduate","White","Female","> $75,000","Married","Own","Employed","Non-MSA",1,2,0
"168",2,1,0,1,0,1,1,1,1,0,1,0,0,5,2,2,"55 - 64 Years","12 Years","White","Female","Below Poverty","Married","Rent","Not in Labor Force","MSA, Principle City",1,0,1
"169",0,2,0,0,0,1,0,0,1,0,1,0,1,5,5,2,"45 - 54 Years","< 12 Years","White","Male","Below Poverty","Married","Own","Unemployed","Non-MSA",1,0,1
"172",1,1,0,1,0,1,0,0,1,0,0,0,1,4,2,4,"35 - 44 Years","Some College","White","Female","<= $75,000, Above Poverty","Not Married","Rent","Employed","Non-MSA",0,3,0
"173",3,2,0,1,0,1,0,0,1,1,0,0,0,5,1,2,"55 - 64 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Principle City",1,0,1
"174",2,0,0,0,0,1,0,0,0,0,0,0,0,4,1,1,"18 - 34 Years","12 Years","Hispanic","Male","<= $75,000, Above Poverty","Not Married","Own","Unemployed","Non-MSA",2,0,0
"175",1,1,0,0,0,1,0,0,0,1,0,0,0,3,2,2,"18 - 34 Years","College Graduate","White","Female","> $75,000","Married","Own","Employed","MSA, Principle City",3,1,0
"177",0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,1,"18 - 34 Years","College Graduate","White","Male","<= $75,000, Above Poverty","Not Married","Rent","Employed","Non-MSA",0,0,0
"178",2,2,0,1,0,1,0,0,1,0,0,0,0,4,4,4,"18 - 34 Years","Some College","White","Female","<= $75,000, Above Poverty","Not Married","Rent","Employed","MSA, Principle City",0,0,0
"179",3,0,0,1,0,0,0,0,1,0,0,0,0,5,5,2,"35 - 44 Years","< 12 Years","White","Female","Below Poverty","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,1,1
"180",1,2,0,1,0,1,0,0,1,0,0,0,0,4,2,2,"35 - 44 Years","College Graduate","Hispanic","Female","> $75,000","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,3,1
"182",3,1,0,1,0,1,1,1,1,0,0,0,0,5,2,4,"45 - 54 Years","12 Years","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",1,0,0
"183",2,1,0,0,0,1,0,0,1,0,0,0,0,4,2,1,"65+ Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,0,0
"186",1,1,0,0,0,1,0,0,0,0,0,0,0,5,5,4,"65+ Years","12 Years","White","Male","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","Non-MSA",1,0,1
